Customer ID,Industry,Metric,Product,Value
Z203,"Arts, Media & Entertainment",Qty,Prod1,0
Z203,"Arts, Media & Entertainment",ARR,Prod1,0
Z258,"Arts, Media & Entertainment",Qty,Prod1,270
Z258,"Arts, Media & Entertainment",ARR,Prod1,19920
Z347,"Arts, Media & Entertainment",Qty,Prod1,1750
Z347,"Arts, Media & Entertainment",ARR,Prod1,58788
Z397,"Arts, Media & Entertainment",Qty,Prod1,700
Z397,"Arts, Media & Entertainment",ARR,Prod1,29459
Z446,"Arts, Media & Entertainment",Qty,Prod1,4200
Z446,"Arts, Media & Entertainment",ARR,Prod1,65740
Z483,"Arts, Media & Entertainment",Qty,Prod1,525
Z483,"Arts, Media & Entertainment",ARR,Prod1,18425
Z518,"Arts, Media & Entertainment",Qty,Prod1,175
Z518,"Arts, Media & Entertainment",ARR,Prod1,1962
Z543,"Arts, Media & Entertainment",Qty,Prod1,1225
Z543,"Arts, Media & Entertainment",ARR,Prod1,18706
Z547,"Arts, Media & Entertainment",Qty,Prod1,945
Z547,"Arts, Media & Entertainment",ARR,Prod1,24060
Z577,"Arts, Media & Entertainment",Qty,Prod1,700
Z577,"Arts, Media & Entertainment",ARR,Prod1,23567
Z619,"Arts, Media & Entertainment",Qty,Prod1,70
Z619,"Arts, Media & Entertainment",ARR,Prod1,785
Z666,"Arts, Media & Entertainment",Qty,Prod1,2100
Z666,"Arts, Media & Entertainment",ARR,Prod1,34292
Z705,"Arts, Media & Entertainment",Qty,Prod1,2100
Z705,"Arts, Media & Entertainment",ARR,Prod1,88222
Z721,"Arts, Media & Entertainment",Qty,Prod1,1138
Z721,"Arts, Media & Entertainment",ARR,Prod1,38300
Z723,"Arts, Media & Entertainment",Qty,Prod1,186
Z723,"Arts, Media & Entertainment",ARR,Prod1,2623
Z724,"Arts, Media & Entertainment",Qty,Prod1,0
Z724,"Arts, Media & Entertainment",ARR,Prod1,0
Z751,"Arts, Media & Entertainment",Qty,Prod1,2975
Z751,"Arts, Media & Entertainment",ARR,Prod1,113333
Z760,"Arts, Media & Entertainment",Qty,Prod1,1663
Z760,"Arts, Media & Entertainment",ARR,Prod1,48977
Z809,"Arts, Media & Entertainment",Qty,Prod1,1050
Z809,"Arts, Media & Entertainment",ARR,Prod1,40506
Z845,"Arts, Media & Entertainment",Qty,Prod1,2450
Z845,"Arts, Media & Entertainment",ARR,Prod1,86419
Z905,"Arts, Media & Entertainment",Qty,Prod1,63
Z905,"Arts, Media & Entertainment",ARR,Prod1,3853
Z927,"Arts, Media & Entertainment",Qty,Prod1,350
Z927,"Arts, Media & Entertainment",ARR,Prod1,18412
Z936,"Arts, Media & Entertainment",Qty,Prod1,1173
Z936,"Arts, Media & Entertainment",ARR,Prod1,37044
Z979,"Arts, Media & Entertainment",Qty,Prod1,0
Z979,"Arts, Media & Entertainment",ARR,Prod1,0
Z1037,"Arts, Media & Entertainment",Qty,Prod1,0
Z1037,"Arts, Media & Entertainment",ARR,Prod1,0
Z1057,"Arts, Media & Entertainment",Qty,Prod1,0
Z1057,"Arts, Media & Entertainment",ARR,Prod1,0
Z1069,"Arts, Media & Entertainment",Qty,Prod1,7000
Z1069,"Arts, Media & Entertainment",ARR,Prod1,171440
Z1094,"Arts, Media & Entertainment",Qty,Prod1,350
Z1094,"Arts, Media & Entertainment",ARR,Prod1,9820
Z1135,"Arts, Media & Entertainment",Qty,Prod1,70
Z1135,"Arts, Media & Entertainment",ARR,Prod1,5368
Z1144,"Arts, Media & Entertainment",Qty,Prod1,2800
Z1144,"Arts, Media & Entertainment",ARR,Prod1,82964
Z1169,"Arts, Media & Entertainment",Qty,Prod1,1750
Z1169,"Arts, Media & Entertainment",ARR,Prod1,74074
Z1176,"Arts, Media & Entertainment",Qty,Prod1,700
Z1176,"Arts, Media & Entertainment",ARR,Prod1,23380
Z1179,"Arts, Media & Entertainment",Qty,Prod1,525
Z1179,"Arts, Media & Entertainment",ARR,Prod1,30803
Z1201,"Arts, Media & Entertainment",Qty,Prod1,0
Z1201,"Arts, Media & Entertainment",ARR,Prod1,0
Z1216,"Arts, Media & Entertainment",Qty,Prod1,420
